key,value
elon_musk,2970
tesla_model,2790
b'elon_musk,2100
model_3,1410
entered_monthly\xef\xb8\x8f,1320
month\xe2\x80\x99s_prize,1320
worth_\xc2\xa355k,1320
it\xe2\x80\x99s_free,1320
30th_april,1320
including_ts&amp;cs,1320
tesla_stock,1050
buying_twitter,900
tesla_shares,810
musk_'s,630
gon_na,600
musk_sells,600
dual_motor,600
3_\xf0\x9f\x87\xba\xf0\x9f\x87\xb8,540
buy_twitter,510
united_states,510
twitter_deal,510
tesla_'s,480
\xf0\x9f\x87\xba\xf0\x9f\x87\xb8_dual,480
elon_musk\xe2\x80\x99s,420
2021_tesla,420
"b""elon_musk",360
4_billion,360
free_speech,330
musk_buying,300
billion_worth,300
44_billion,270
b'tesla_stock,270
twitter_takeover,270
tesla_cars,240
stock_price,240
electric_car,240
billion_tesla,240
states_\xf0\x9f\x87\xba\xf0\x9f\x87\xb8,240
b'musk_sells,240
musk_sold,240
b'detroit_rivalry,240
rivalry_remains,240
tesla_price,210
musk\xe2\x80\x99s_twitter,210
"b""tesla_'s",180
social_media,180
richest_man,180
musk_wins,180
tesla_shareholder,180
shareholder_lawsuit,180
